Date,Open,High,Low,Close,Volume
2015-01-02,,175.9,171.9,174.9,49049
2015-01-06,,181,175,180,255134
2015-01-07,,180.9,179,180,370302
2015-01-08,,182.1,180,181.6,27002
2015-01-09,,190.9,184,187.9,958161
2015-01-12,,194,189.3,190.1,3078643
2015-01-13,,192,187,189.5,168594
2015-01-16,,190,188,188.3,24690
2015-01-19,,188.5,177,179.8,451999
2015-01-20,,183,180,180.2,546885
2015-01-21,,181,178.1,180,105928
2015-01-22,,180,177.1,178,742522
2015-01-23,,181.5,179,180,57584
2015-01-26,,180.1,180,180,53002
2015-01-27,,181.5,180,181,664413
2015-01-28,,181,179.5,180.1,238538
2015-01-29,,180.5,179.5,179.9,2489287
2015-01-30,,174,167.5,168.1,1066970
2015-02-02,,168.1,158.1,160.8,228428
2015-02-05,,163.5,161,162.1,1719917
2015-02-06,,170,164,168.1,2178486
2015-02-09,,170.2,168,168,83916
2015-02-10,,174.4,168.6,174,1043805
2015-02-11,,179,174,178,120261
2015-02-12,,178,176.1,178,52857
2015-02-13,,178,176,178,202836
2015-02-16,,178,176,177.3,35056
2015-02-18,,180,177,178.6,677285
2015-02-19,,181,179.1,180,3463628
2015-02-20,,180,179.1,179.8,19128
2015-02-23,,180,178.8,179,611781
2015-02-24,,180,178.1,179.7,54106
2015-02-25,,180,179,179.4,155040
2015-02-26,,179.5,178,179,93610
2015-02-27,,179.5,177.5,178.5,1104856
2015-03-02,,179.5,178.5,179,135292
2015-03-03,,180.1,179,180,720371
2015-03-04,,180,179.5,179.7,564
2015-03-06,,180,178.1,179.5,184422
2015-03-09,,181,179.5,180.1,36133
2015-03-10,,184.3,180,183.1,164186
2015-03-11,,184.9,181,183,316532
2015-03-12,,183,181.9,182.5,1560
2015-03-13,,182,180,180.7,57855
2015-03-16,,180.8,179.5,179.7,104847
2015-03-17,,179.5,179,179,53697
2015-03-18,,178,174,175,80664
2015-03-19,,178,175,178,27661
2015-03-20,,178,176,177.7,24759
2015-03-23,,179,177.4,177.4,30302
2015-03-24,,176.9,172.5,173.3,45369
2015-03-25,,174,171.5,171.9,50337
2015-03-26,,172,167,168,40197
2015-03-27,,169,166.5,166.8,42576
2015-03-30,,166.8,161,162.7,137991
2015-03-31,,166.8,160,165.4,91909
2015-04-01,,167,163,167,11355
2015-04-02,,167,162,163.7,120322
2015-04-06,,166,163.5,165,1043169
2015-04-07,,168,164,165.1,6699
2015-04-08,,166,164,164.6,14168
2015-04-09,,164.7,164,164,850252
2015-04-10,,165,163.6,163.9,304703
2015-04-15,,170,163.5,169,20541
2015-04-16,,175,170,170.3,529131
2015-04-17,,173,170,171,70757
2015-04-20,,173,171,172,346929
2015-04-21,,172,171.1,172,303854
2015-04-22,,173,171.5,171.9,2137698
2015-04-23,,172,171,171.4,55506
2015-04-24,,172,171,171,68161
2015-04-27,,172,170.7,171.2,173399
2015-04-28,,171.9,171,171.5,439534
2015-04-29,,172,171,172,303705
2015-04-30,,172.5,171.5,171.9,172544
2015-05-05,,173,171,172,681987
2015-05-06,,172,169,170.4,1356651
2015-05-07,,172,171.5,171.9,5305
2015-05-08,,173,171,171.2,549202
2015-05-11,,172,171,171.9,328829
2015-05-12,,172,170,171.8,776085
2015-05-13,,172,170.5,170.5,677086
2015-05-14,,171.4,170,170,824245
2015-05-15,,171,169,169.7,598820
2015-05-18,,169.9,168.2,168.5,33329
2015-05-19,,169,168.2,169,108165
2015-05-20,,170,169,170,1240243
2015-05-21,,171,169,169.3,626279
2015-05-22,,170,168.5,168.6,50602
2015-05-25,,169,165,165.2,56180
2015-05-26,,166.9,165.1,165.2,2107043
2015-05-27,,169,165,165.1,1698312
2015-05-28,,167.5,164,164.2,3128141
2015-05-29,,164.2,162,162.9,925771
2015-06-01,,164,162,162.8,37730
2015-06-03,,163,160,160.4,1010029
2015-06-04,,162.1,161,161,626898
2015-06-05,,163.9,161,162.2,45818
2015-06-08,,163,162.1,162.2,27095
2015-06-09,,163,162,162.1,41697
2015-06-10,,163,162,162,11656
2015-06-11,,162,161,161.1,22013
2015-06-12,,162.2,161,161,533772
2015-06-15,,163.5,162,163,8805
2015-06-16,,165,162.7,164,7083
2015-06-17,,165,163,165,16246
2015-06-18,,165,164,164.9,15450
2015-06-19,,165,161.3,162.1,64880
2015-06-22,,162.1,160,161.6,85199
2015-06-23,,161.2,160.7,161,32610
2015-06-24,,161,160.2,160.5,18499
2015-06-25,,161,160,160.5,286628
2015-06-26,,160.9,160.5,160.8,1665906
2015-06-29,,160.9,160.5,160.7,55215
2015-06-30,,160.9,160.2,160.5,1296694
2015-07-02,,164.9,160.2,161,43453
2015-07-03,,162,161,161.1,22604
2015-07-06,,162,161,161.5,42639
2015-07-07,,162.5,161.1,161.7,92921
2015-07-08,,161,160,160.8,205109
2015-07-09,,162.5,160.8,162,164339
2015-07-10,,165,162,164.2,45177
2015-07-13,,165,163.4,164.8,20294
2015-07-14,,166,165,165,29088
2015-07-15,,170,164.5,166.7,247142
2015-07-16,,171,168.1,169.9,1353611
2015-07-17,,170,168.2,169.5,123933
2015-07-20,,169.5,167,168.1,11297
2015-07-21,,168,167,167,3786
2015-07-22,,169.3,166.5,168.1,1914519
2015-07-23,,169,168,168.3,1458218
2015-07-24,,170,168,170,1054178
2015-07-27,,170,168.5,169.5,121576
2015-07-28,,170.4,169.7,170,29687
2015-07-29,,171,170,170.1,52197
2015-07-30,,173,170.5,171,1937001
2015-08-03,,172,171,171,480092
2015-08-04,,171,170,170.5,25536
2015-08-05,,172.5,171,171.5,109216
2015-08-06,,173,172,172,32325
