Date,Open,High,Low,Close,Volume
02-01-2015,,154.00,151.10,153.90,33702
06-01-2015,,162.00,153.90,160.00,257699
07-01-2015,,163.00,160.50,162.60,226310
08-01-2015,,164.00,162.50,162.60,165394
09-01-2015,,170.00,164.00,169.80,158691
12-01-2015,,170.00,164.50,164.70,67252
13-01-2015,,168.00,164.00,164.00,33624
16-01-2015,,168.80,163.50,164.60,46500
19-01-2015,,165.00,162.00,163.70,39405
20-01-2015,,163.20,160.00,161.50,175610
21-01-2015,,165.00,159.10,159.20,20646
22-01-2015,,163.20,159.10,161.30,54033
23-01-2015,,162.00,160.60,160.90,5086
26-01-2015,,162.00,160.00,160.10,9864
27-01-2015,,161.00,160.00,161.00,7765
28-01-2015,,162.00,161.00,162.00,42699
29-01-2015,,165.00,162.00,163.80,24778
30-01-2015,,160.00,150.00,158.80,64884
02-02-2015,,159.00,157.10,158.00,99860
05-02-2015,,160.00,157.50,158.90,27303
06-02-2015,,163.00,160.00,162.10,121395
09-02-2015,,166.00,162.10,165.20,114084
10-02-2015,,171.00,165.00,169.50,136314
11-02-2015,,172.00,167.00,171.70,239375
12-02-2015,,172.00,168.50,170.20,104120
13-02-2015,,174.40,168.00,173.80,94312
16-02-2015,,175.00,172.00,174.70,88614
18-02-2015,,179.00,174.00,178.00,376661
19-02-2015,,180.00,177.00,178.00,302885
20-02-2015,,180.00,178.00,179.10,321981
23-02-2015,,182.00,179.80,180.10,95800
24-02-2015,,182.90,180.00,180.90,40110
25-02-2015,,181.10,180.60,181.00,58886
26-02-2015,,181.00,180.00,180.00,49381
27-02-2015,,182.80,180.50,181.10,26860
02-03-2015,,184.00,180.50,184.00,111400
03-03-2015,,185.50,184.00,185.10,164530
04-03-2015,,185.50,184.50,185.00,110447
06-03-2015,,186.50,185.30,186.00,11107
09-03-2015,,186.00,185.10,185.80,70184
10-03-2015,,186.90,184.90,186.00,42865
11-03-2015,,187.00,186.00,186.90,56381
12-03-2015,,186.00,183.50,185.00,25871
13-03-2015,,185.00,184.00,184.00,43954
16-03-2015,,185.00,178.00,182.20,34363
17-03-2015,,184.50,184.00,184.30,9465
18-03-2015,,185.00,183.00,184.90,11991
19-03-2015,,185.00,181.10,181.10,13218
20-03-2015,,184.00,181.20,184.00,3669
23-03-2015,,184.00,181.00,183.90,88127
24-03-2015,,184.80,182.00,182.00,66316
25-03-2015,,183.40,182.00,182.10,172774
26-03-2015,,183.00,181.10,181.80,89421
27-03-2015,,182.00,180.00,180.80,137480
30-03-2015,,181.00,175.30,176.40,30253
31-03-2015,,170.00,164.00,165.00,230953
01-04-2015,,168.00,164.60,166.10,37416
02-04-2015,,168.50,165.50,166.00,2260
06-04-2015,,168.50,165.50,165.50,2693
07-04-2015,,168.00,165.50,165.50,1840
08-04-2015,,166.50,166.00,166.10,29310
09-04-2015,,166.50,165.60,166.20,54979
10-04-2015,,166.60,166.10,166.50,9028
15-04-2015,,172.00,167.50,170.00,135370
16-04-2015,,173.00,170.00,172.30,18225
17-04-2015,,174.40,171.00,172.50,41281
20-04-2015,,175.00,172.00,173.00,22783
21-04-2015,,175.00,173.00,173.00,405
22-04-2015,,175.00,173.00,175.00,36603
23-04-2015,,176.00,174.00,175.10,134687
24-04-2015,,175.00,174.50,175.00,87895
27-04-2015,,175.00,174.00,174.00,55708
28-04-2015,,178.00,175.00,177.50,19963
29-04-2015,,177.80,177.00,177.00,18985
30-04-2015,,177.90,177.00,177.50,19004
05-05-2015,,179.50,177.50,179.50,72075
06-05-2015,,181.00,179.50,180.90,166336
07-05-2015,,180.90,180.00,180.50,133706
08-05-2015,,181.50,180.10,181.00,149027
11-05-2015,,181.10,181.00,181.10,12089
12-05-2015,,181.50,180.30,180.90,53897
13-05-2015,,181.10,180.00,180.00,11775
14-05-2015,,181.30,180.00,181.00,62298
15-05-2015,,181.00,180.00,180.90,24163
18-05-2015,,181.00,180.10,180.60,5309
19-05-2015,,180.10,179.90,180.00,835
20-05-2015,,181.00,179.90,181.00,319088
21-05-2015,,182.00,180.00,181.60,31286
22-05-2015,,182.50,181.60,181.90,12159
25-05-2015,,182.00,181.00,181.00,560
26-05-2015,,181.00,180.10,180.30,7324
27-05-2015,,181.00,179.00,179.60,10704
28-05-2015,,180.50,179.00,179.00,50050
29-05-2015,,179.00,177.50,177.70,51286
01-06-2015,,178.90,175.20,177.70,2136
03-06-2015,,177.00,175.00,175.00,23211
04-06-2015,,174.00,174.00,174.00,1008
05-06-2015,,175.00,174.50,175.00,198054
08-06-2015,,175.00,173.00,174.60,53438
09-06-2015,,173.50,172.90,173.10,45970
10-06-2015,,173.00,171.10,172.50,336
11-06-2015,,172.00,172.00,172.00,12835
12-06-2015,,173.00,171.20,173.00,150355
15-06-2015,,173.00,172.00,172.10,850
16-06-2015,,172.20,172.00,172.00,18600
17-06-2015,,172.00,171.60,172.00,10809
18-06-2015,,174.00,172.00,172.00,1295
19-06-2015,,173.00,172.60,173.00,24679
22-06-2015,,173.00,172.50,173.00,72036
23-06-2015,,173.50,172.90,173.20,30017
24-06-2015,,174.00,173.00,173.60,20664
25-06-2015,,174.00,173.00,173.00,88903
26-06-2015,,173.10,172.80,173.00,13409
29-06-2015,,173.00,172.60,173.00,4154
30-06-2015,,174.00,172.90,173.00,55959
02-07-2015,,175.00,173.00,173.10,27753
03-07-2015,,175.00,173.00,174.10,18150
06-07-2015,,178.50,172.60,173.00,8505
07-07-2015,,177.00,172.50,173.00,10653
08-07-2015,,174.00,172.00,173.00,158355
09-07-2015,,173.50,173.50,173.00,2
10-07-2015,,173.00,172.30,173.00,159924
13-07-2015,,175.00,173.50,173.00,16
14-07-2015,,174.50,173.00,173.00,702
15-07-2015,,175.00,173.00,173.10,133579
16-07-2015,,177.00,173.00,173.80,94431
17-07-2015,,177.00,175.10,176.90,24280
20-07-2015,,176.00,175.50,176.00,418188
21-07-2015,,176.00,175.50,175.50,1457
22-07-2015,,180.00,176.00,178.90,44172
23-07-2015,,180.00,176.00,178.00,63431
24-07-2015,,178.00,177.00,177.50,30237
27-07-2015,,179.80,177.10,177.10,17251
28-07-2015,,178.00,177.00,177.30,70106
29-07-2015,,179.00,177.90,178.90,12409
30-07-2015,,179.00,178.00,178.30,27118
03-08-2015,,179.90,178.00,179.00,28570
04-08-2015,,179.80,178.50,178.50,20386
05-08-2015,,179.00,178.50,178.90,5378
06-08-2015,,179.50,179.00,179.50,10100
07-08-2015,,179.80,178.00,179.50,649476
10-08-2015,,179.90,179.00,179.00,27314
11-08-2015,,181.00,179.00,180.10,175163
12-08-2015,,181.00,180.00,180.60,95463
13-08-2015,,182.90,181.00,181.00,45614
14-08-2015,,183.50,181.00,182.90,102728
17-08-2015,,183.00,182.00,182.90,19664
18-08-2015,,184.50,182.10,184.00,21000
19-08-2015,,184.00,183.50,184.00,11907
20-08-2015,,183.50,182.00,182.00,7539
21-08-2015,,182.00,181.10,181.90,20138
24-08-2015,,181.00,176.10,177.80,67079
25-08-2015,,177.80,174.00,174.10,27167
26-08-2015,,180.00,174.80,175.00,218007
27-08-2015,,176.00,174.10,174.20,15099
28-08-2015,,177.00,175.00,175.20,6205
31-08-2015,,177.00,176.50,176.50,942
01-09-2015,,177.00,175.50,176.00,104781
02-09-2015,,176.50,175.00,175.10,209529
03-09-2015,,175.00,175.00,175.00,51050
04-09-2015,,173.70,173.00,173.10,8425
07-09-2015,,173.60,170.00,171.00,69576
08-09-2015,,173.00,170.00,173.00,8315
09-09-2015,,173.10,173.00,173.00,1462
10-09-2015,,173.00,173.00,173.00,3394
11-09-2015,,173.00,173.00,173.00,4482
14-09-2015,,175.00,173.00,173.00,81
15-09-2015,,175.00,173.00,174.00,15859
16-09-2015,,175.90,174.50,174.90,505802
17-09-2015,,175.00,174.50,175.00,52661
18-09-2015,,175.50,175.00,175.50,122100
21-09-2015,,176.00,175.00,175.00,62169
22-09-2015,,175.10,174.10,175.00,66561
23-09-2015,,175.80,175.00,175.00,14683
25-09-2015,,176.00,173.00,176.00,22219
28-09-2015,,176.00,175.00,175.00,11945
29-09-2015,,175.10,175.00,175.00,12687
30-09-2015,,175.50,174.50,175.10,4922
01-10-2015,,175.00,175.00,175.00,1650
02-10-2015,,175.00,175.00,175.00,728
05-10-2015,,178.00,175.00,175.20,2339
06-10-2015,,183.40,175.00,175.00,23687
07-10-2015,,175.50,175.00,175.20,73811
08-10-2015,,175.50,175.30,175.50,50625
09-10-2015,,177.50,175.50,177.50,5285
12-10-2015,,176.00,175.50,175.50,26276
13-10-2015,,177.00,176.00,176.00,433734
14-10-2015,,176.40,176.40,176.00,20
15-10-2015,,175.90,175.00,175.00,141260
16-10-2015,,176.00,175.00,175.10,11678
19-10-2015,,175.00,175.00,175.00,83157
20-10-2015,,176.00,175.00,175.00,14226
21-10-2015,,176.00,175.00,175.10,8203
22-10-2015,,176.90,175.10,176.60,4109
23-10-2015,,180.00,175.20,178.00,86994
26-10-2015,,176.00,176.00,176.00,12786
28-10-2015,,175.50,175.00,175.00,444063
29-10-2015,,179.50,175.00,179.50,14616
30-10-2015,,179.30,176.10,179.10,92600
02-11-2015,,179.00,177.20,177.20,1353
03-11-2015,,177.00,176.00,176.00,18350
04-11-2015,,176.10,176.00,176.00,47000
05-11-2015,,177.00,176.00,176.20,1523
06-11-2015,,177.00,176.00,176.00,9432
09-11-2015,,178.00,176.10,176.10,2001
11-11-2015,,178.00,176.10,176.10,10342
12-11-2015,,178.00,176.10,176.20,8674
13-11-2015,,176.90,175.10,176.00,5069
16-11-2015,,176.70,175.20,176.50,44602
17-11-2015,,177.50,176.70,177.50,16883
18-11-2015,,178.90,178.00,178.00,23365
19-11-2015,,179.90,178.50,179.40,34822
20-11-2015,,180.00,179.00,180.00,86889
23-11-2015,,178.40,177.10,178.00,84930
24-11-2015,,178.20,177.00,177.30,148700
26-11-2015,,177.00,175.00,177.00,56946
27-11-2015,,177.30,175.10,175.50,688
30-11-2015,,176.50,176.00,176.20,28840
01-12-2015,,176.00,175.30,175.80,54301
02-12-2015,,176.10,175.40,175.90,23254
03-12-2015,,176.00,175.30,176.00,13101
04-12-2015,,177.00,177.00,177.00,617
07-12-2015,,176.80,175.00,175.00,151048
08-12-2015,,176.70,175.10,176.70,3168
