Date,Open,High,Low,Close,Volume
2015-01-02,,237,235.2,236.7,20869
2015-01-06,,242,237,241.7,255100
2015-01-07,,245,242,242.5,176849
2015-01-08,,247,244,245.2,92406
2015-01-09,,251.7,247,250,326763
2015-01-12,,258,250,251.8,188514
2015-01-13,,250.1,247.5,248.3,29056
2015-01-16,,251,248,249.9,400897
2015-01-19,,251,245,245.2,108556
2015-01-20,,247,245,245,81512
2015-01-21,,245.5,245,245,178298
2015-01-22,,245,240,242.9,54629
2015-01-23,,249,245,248.4,72694
2015-01-26,,248.9,245,248.1,66522
2015-01-27,,249,246,248.8,45154
2015-01-28,,252,249.5,251.7,73807
2015-01-29,,253,250,251.8,114965
2015-01-30,,249,240,243.6,99106
2015-02-02,,242.5,238,239.2,76291
2015-02-05,,239.5,237,238.3,23443
2015-02-06,,252,239,250,393133
2015-02-09,,250,245,250,91602
2015-02-10,,251,248,250.9,54607
2015-02-11,,261,251.5,260.3,616582
2015-02-12,,261.9,257.1,259.9,233778
2015-02-13,,261,260,260.1,80009
2015-02-16,,261,258.3,259.4,13051
2015-02-18,,260.7,258,259.7,94225
2015-02-19,,261,259,260.8,58372
2015-02-20,,270.1,259.6,268.5,388563
2015-02-23,,271,267,267.6,83348
2015-02-24,,269,267.5,267.8,134764
2015-02-25,,268.9,266.5,268,282436
2015-02-26,,270,266.1,268.9,193636
2015-02-27,,270,267,268,54127
2015-03-02,,269.8,267,267,48978
2015-03-03,,270.2,267,270,402286
2015-03-04,,270.2,269,269.2,63988
2015-03-06,,275,268,273,140821
2015-03-09,,270.1,270,270,9840
2015-03-10,,270.5,270,270,88215
2015-03-11,,270.5,270,270,105108
2015-03-12,,270.1,268.9,269,9226
2015-03-13,,270,267.7,269.5,10961
2015-03-16,,269.5,267.5,268.5,48302
2015-03-17,,271,267.1,270,127008
2015-03-18,,270,268.5,268.8,2137
2015-03-19,,269.9,269,269.2,34014
2015-03-20,,269.7,269.1,269.3,9594
2015-03-23,,269.5,268,268,13953
2015-03-24,,269,267.1,267.2,22223
2015-03-25,,267.5,261,263,118845
2015-03-26,,263,258,258.5,130439
2015-03-27,,260.5,256,257.2,21163
2015-03-30,,258.2,248.6,250.4,61742
2015-03-31,,254,249,252.1,167421
2015-04-01,,247,240,246.3,48684
2015-04-02,,249.5,246,247.5,115201
2015-04-06,,248,243.9,244.6,39341
2015-04-07,,245,243.9,244,44760
2015-04-08,,247,244,247,39662
2015-04-09,,247,245,245.1,31968
2015-04-10,,247.5,244,245,32867
2015-04-15,,247,245,245.1,286558
2015-04-16,,254,246,252.1,71342
2015-04-17,,256,250.6,254.9,38123
2015-04-20,,259,250,254.9,34378
2015-04-21,,256,254,255.3,34946
2015-04-22,,257.5,254.5,255,45457
2015-04-23,,257,253,255,42895
2015-04-24,,257,255,255.6,86390
2015-04-27,,255.6,254,254.6,68411
2015-04-28,,257,254,255.4,83125
2015-04-29,,258,256,257,96743
2015-04-30,,260,257,259.9,186554
2015-05-05,,264,259.5,263.8,236211
2015-05-06,,265,263,264,278726
2015-05-07,,264.5,261.8,262,32674
2015-05-08,,262.5,261.5,262.1,15837
2015-05-11,,262.5,260,260.8,85640
2015-05-12,,261,259,260,168815
2015-05-13,,261,259,260.2,42553
2015-05-14,,261,260,260.8,53955
2015-05-15,,264.5,262,263.8,202074
2015-05-18,,263.5,261.1,263,136991
2015-05-19,,264.6,262.5,263.6,91055
2015-05-20,,265.1,262,264.9,651078
2015-05-21,,268,264.1,267.8,637328
2015-05-22,,268.9,267,268.3,46032
2015-05-25,,268,265.3,267.4,27489
2015-05-26,,268.2,267.2,267.2,398834
2015-05-27,,271,266,270,138345
2015-05-28,,272,270,270.1,175094
2015-05-29,,269,268,268.3,20749
2015-06-01,,268.3,267.8,267.9,29617
2015-06-03,,268.4,265,266,89499
2015-06-04,,265,263,263.4,123870
2015-06-05,,265,262,265,40886
