Date,Open,High,Low,Close,Volume
02-01-2015,,237,235.2,236.7,20869
06-01-2015,,242,237,241.7,255100
07-01-2015,,245,242,242.5,176849
08-01-2015,,247,244,245.2,92406
09-01-2015,,251.7,247,250,326763
12-01-2015,,258,250,251.8,188514
13-01-2015,,250.1,247.5,248.3,29056
16-01-2015,,251,248,249.9,400897
19-01-2015,,251,245,245.2,108556
20-01-2015,,247,245,245,81512
21-01-2015,,245.5,245,245,178298
22-01-2015,,245,240,242.9,54629
23-01-2015,,249,245,248.4,72694
26-01-2015,,248.9,245,248.1,66522
27-01-2015,,249,246,248.8,45154
28-01-2015,,252,249.5,251.7,73807
29-01-2015,,253,250,251.8,114965
30-01-2015,,249,240,243.6,99106
02-02-2015,,242.5,238,239.2,76291
05-02-2015,,239.5,237,238.3,23443
06-02-2015,,252,239,250,393133
09-02-2015,,250,245,250,91602
10-02-2015,,251,248,250.9,54607
11-02-2015,,261,251.5,260.3,616582
12-02-2015,,261.9,257.1,259.9,233778
13-02-2015,,261,260,260.1,80009
16-02-2015,,261,258.3,259.4,13051
18-02-2015,,260.7,258,259.7,94225
19-02-2015,,261,259,260.8,58372
20-02-2015,,270.1,259.6,268.5,388563
23-02-2015,,271,267,267.6,83348
24-02-2015,,269,267.5,267.8,134764
25-02-2015,,268.9,266.5,268,282436
26-02-2015,,270,266.1,268.9,193636
27-02-2015,,270,267,268,54127
02-03-2015,,269.8,267,267,48978
03-03-2015,,270.2,267,270,402286
04-03-2015,,270.2,269,269.2,63988
06-03-2015,,275,268,273,140821
09-03-2015,,270.1,270,270,9840
10-03-2015,,270.5,270,270,88215
11-03-2015,,270.5,270,270,105108
12-03-2015,,270.1,268.9,269,9226
13-03-2015,,270,267.7,269.5,10961
16-03-2015,,269.5,267.5,268.5,48302
17-03-2015,,271,267.1,270,127008
18-03-2015,,270,268.5,268.8,2137
19-03-2015,,269.9,269,269.2,34014
20-03-2015,,269.7,269.1,269.3,9594
23-03-2015,,269.5,268,268,13953
24-03-2015,,269,267.1,267.2,22223
25-03-2015,,267.5,261,263,118845
26-03-2015,,263,258,258.5,130439
27-03-2015,,260.5,256,257.2,21163
30-03-2015,,258.2,248.6,250.4,61742
31-03-2015,,254,249,252.1,167421
01-04-2015,,247,240,246.3,48684
02-04-2015,,249.5,246,247.5,115201
06-04-2015,,248,243.9,244.6,39341
07-04-2015,,245,243.9,244,44760
08-04-2015,,247,244,247,39662
09-04-2015,,247,245,245.1,31968
10-04-2015,,247.5,244,245,32867
15-04-2015,,247,245,245.1,286558
16-04-2015,,254,246,252.1,71342
17-04-2015,,256,250.6,254.9,38123
20-04-2015,,259,250,254.9,34378
21-04-2015,,256,254,255.3,34946
22-04-2015,,257.5,254.5,255,45457
23-04-2015,,257,253,255,42895
24-04-2015,,257,255,255.6,86390
27-04-2015,,255.6,254,254.6,68411
28-04-2015,,257,254,255.4,83125
29-04-2015,,258,256,257,96743
30-04-2015,,260,257,259.9,186554
05-05-2015,,264,259.5,263.8,236211
06-05-2015,,265,263,264,278726
07-05-2015,,264.5,261.8,262,32674
08-05-2015,,262.5,261.5,262.1,15837
11-05-2015,,262.5,260,260.8,85640
12-05-2015,,261,259,260,168815
13-05-2015,,261,259,260.2,42553
14-05-2015,,261,260,260.8,53955
15-05-2015,,264.5,262,263.8,202074
18-05-2015,,263.5,261.1,263,136991
19-05-2015,,264.6,262.5,263.6,91055
20-05-2015,,265.1,262,264.9,651078
21-05-2015,,268,264.1,267.8,637328
22-05-2015,,268.9,267,268.3,46032
25-05-2015,,268,265.3,267.4,27489
26-05-2015,,268.2,267.2,267.2,398834
27-05-2015,,271,266,270,138345
28-05-2015,,272,270,270.1,175094
29-05-2015,,269,268,268.3,20749
01-06-2015,,268.3,267.8,267.9,29617
03-06-2015,,268.4,265,266,89499
04-06-2015,,265,263,263.4,123870
05-06-2015,,265,262,265,40886
08-06-2015,,265,258.5,259.4,430364
09-06-2015,,261.5,257.6,258.9,87498
10-06-2015,,260,255.1,256.8,204792
11-06-2015,,256.3,253.2,255,778079
12-06-2015,,256.6,254.5,255,639558
15-06-2015,,256,254.6,255,101971
16-06-2015,,255,252,254,583729
17-06-2015,,254,253,253.9,41159
18-06-2015,,257,254,256.3,46892
19-06-2015,,259,255.2,258.3,32070
22-06-2015,,263,258,259.3,7600
23-06-2015,,260,259,259.3,322534
24-06-2015,,260,259,259.8,442845
25-06-2015,,260,258.8,259.5,40075
26-06-2015,,260,258,259.4,32947
29-06-2015,,265,260,260,9015
30-06-2015,,262,259,259.3,1537
02-07-2015,,260,257,258.8,50252
03-07-2015,,260,258,258.7,5102
06-07-2015,,259,258,258,14841
07-07-2015,,257.4,256,256.1,5359
08-07-2015,,257,255,256.4,12685
09-07-2015,,255.2,248.1,250.7,117499
10-07-2015,,254.9,250,253.5,27919
13-07-2015,,255,253,254.2,19440
14-07-2015,,254,252,252.3,40711
15-07-2015,,258,254.9,258,52994
16-07-2015,,260,258,260,476999
17-07-2015,,260,258.5,259.7,175033
20-07-2015,,262.4,260,260.1,51219
21-07-2015,,260.5,260,260,32028
22-07-2015,,262,259,261.7,536932
23-07-2015,,262,261,261.8,40827
24-07-2015,,262,261,261.8,218885
27-07-2015,,264.9,263,263,27548
28-07-2015,,264,262.5,263.3,88729
29-07-2015,,264.5,262.5,264.2,40718
30-07-2015,,265,263,263,94867
03-08-2015,,264.9,262.5,263,119423
04-08-2015,,263.8,260.1,262.3,124616
05-08-2015,,264,262,263,83572
06-08-2015,,263.9,262,263.1,413206
07-08-2015,,264.8,263.1,264.3,488510
10-08-2015,,266,263.5,265,763093
11-08-2015,,275,265.1,274.8,310500
12-08-2015,,277,270.1,275,325709
13-08-2015,,276.8,272,273,179256
14-08-2015,,275,273,274,215177
17-08-2015,,276,274,274.9,102100
18-08-2015,,279.9,276.5,276.7,225371
19-08-2015,,279.9,275.2,276.5,105533
20-08-2015,,277.1,274,275,177094
21-08-2015,,275.2,273,273.7,38530
24-08-2015,,273.1,263.9,266,77262
25-08-2015,,266,261,262.5,57298
26-08-2015,,264,260.1,260.2,268742
27-08-2015,,268.7,259,260,194156
28-08-2015,,265,262.3,263.9,7266
31-08-2015,,264.5,263.9,264.4,27346
01-09-2015,,265,264.5,264.7,38449
02-09-2015,,265,264.1,264.5,130334
03-09-2015,,264.5,264,264,230984
04-09-2015,,265,262,262.8,57561
07-09-2015,,262,260,260.2,56768
08-09-2015,,261.5,260,261.1,15475
09-09-2015,,263,262,262.1,3987
10-09-2015,,263.5,262,262,42942
11-09-2015,,263.5,262.1,262.5,7778
14-09-2015,,262.5,262.1,262.1,44494
15-09-2015,,262.5,262.1,262.4,18494
16-09-2015,,262.5,260.1,262,186231
17-09-2015,,261.5,260,260.7,122983
18-09-2015,,261.5,260.5,260.5,6282
21-09-2015,,261.5,258,259,71018
22-09-2015,,260,256.5,259,45506
23-09-2015,,261,259.9,261,37233
25-09-2015,,260.5,260,260.3,13400
28-09-2015,,261,258.5,260.8,48114
29-09-2015,,260.6,260,260,28070
30-09-2015,,260.7,258,258.2,17428
01-10-2015,,261,259.5,260.8,17983
02-10-2015,,260.2,260,260.1,31192
05-10-2015,,260.5,260,260,42197
06-10-2015,,260,259.9,259.9,50553
07-10-2015,,260,258.1,259.4,7923
08-10-2015,,259.9,258.2,259.1,18686
09-10-2015,,261,259.1,260,57932
12-10-2015,,260.9,259.9,259.9,45278
13-10-2015,,260,258,258.4,52555
14-10-2015,,258.5,257,258,22895
15-10-2015,,258.5,257,258.4,10768
16-10-2015,,258.4,257,257.1,6207
19-10-2015,,258,256,256.3,9627
20-10-2015,,259,256.2,258,19138
21-10-2015,,259,258,258.1,30946
22-10-2015,,258.5,258,258.1,9420
23-10-2015,,258.5,258,258,7414
26-10-2015,,259,258,258.1,18845
28-10-2015,,259,258,258,120114
29-10-2015,,260,258,258.6,76314
30-10-2015,,258.2,257,257,74696
02-11-2015,,258,256,256,9606
03-11-2015,,256,255,255,35352
04-11-2015,,256,255,255,11843
05-11-2015,,258.5,255,257.4,21422
